"","MacID_Elim","Wt_Dist","Num_Sig_Angles","Opt_Near_Neig","RMSE_CV_Model","RMSE_Full_Model"
"SM0_WT_SA1","NA",TRUE,1,9,1091.25089616381,269.887760500789
"SM0_WF_SA1","NA",FALSE,1,9,1113.23456790123,280.451164197531
"SM0_WT_SA2","NA",TRUE,2,6,957.037567354231,215.683546664743
"SM0_WF_SA2","NA",FALSE,2,6,982.805555555556,225.853633333333
"SM0_WT_SA3","NA",TRUE,3,6,863.723383085583,207.250770141227
"SM0_WF_SA3","NA",FALSE,3,4,870.5625,230.3203
"SM0_WT_SA4","NA",TRUE,4,4,869.040530208029,242.630768917857
"SM0_WF_SA4","NA",FALSE,4,4,881.5,244.3353
"SM1_WT_SA1","00:0f:a3:39:e1:c0",TRUE,1,12,1167.72136399996,279.64555626176
"SM1_WF_SA1","00:0f:a3:39:e1:c0",FALSE,1,10,1217.15,299.5483
"SM1_WT_SA2","00:0f:a3:39:e1:c0",TRUE,2,9,1005.71071576806,246.000636832134
"SM1_WF_SA2","00:0f:a3:39:e1:c0",FALSE,2,6,1038.27777777778,255.752522222222
"SM1_WT_SA3","00:0f:a3:39:e1:c0",TRUE,3,6,890.344113344854,242.404146988905
"SM1_WF_SA3","00:0f:a3:39:e1:c0",FALSE,3,4,899.5,243.4303
"SM1_WT_SA4","00:0f:a3:39:e1:c0",TRUE,4,3,907.711992687869,287.704034116218
"SM1_WF_SA4","00:0f:a3:39:e1:c0",FALSE,4,3,908.222222222222,283.171411111111
"SM2_WT_SA1","00:0f:a3:39:dd:cd",TRUE,1,7,1320.66936681037,366.365508351548
"SM2_WF_SA1","00:0f:a3:39:dd:cd",FALSE,1,7,1344.04081632653,373.057851020408
"SM2_WT_SA2","00:0f:a3:39:dd:cd",TRUE,2,6,1076.69843321701,293.776994394058
"SM2_WF_SA2","00:0f:a3:39:dd:cd",FALSE,2,6,1106.5,296.546966666667
"SM2_WT_SA3","00:0f:a3:39:dd:cd",TRUE,3,5,1073.15525843786,273.121241611466
"SM2_WF_SA3","00:0f:a3:39:dd:cd",FALSE,3,5,1086.76,275.5083
"SM2_WT_SA4","00:0f:a3:39:dd:cd",TRUE,4,5,1071.50176870259,286.626538720561
"SM2_WF_SA4","00:0f:a3:39:dd:cd",FALSE,4,5,1075.6,287.0723
